REF_DATE,DataNormal,GEO,DGUID,North American Product Classification System (NAPCS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1997-01-01,1997Q1,Atlantic Region,2021A00011,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952532,1.1,38.8,,,,1
1997-01-01,1997Q1,Atlantic Region,2021A00011,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952533,1.2,49.2,,,,1
1997-01-01,1997Q1,Atlantic Region,2021A00011,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952535,1.4,40.3,,,,1
1997-01-01,1997Q1,Quebec,2021A000224,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952544,2.1,34.8,,,,1
1997-01-01,1997Q1,Quebec,2021A000224,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952545,2.2,34.1,,,,1
1997-01-01,1997Q1,Quebec,2021A000224,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952547,2.4,36.6,,,,1
1997-01-01,1997Q1,Ontario,2021A000235,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952540,3.1,45.4,,,,1
1997-01-01,1997Q1,Ontario,2021A000235,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952541,3.2,40.6,,,,1
1997-01-01,1997Q1,Ontario,2021A000235,Light fuel oils (except kerosene and diesel) [261322],"Index, 202001=100",403,units,0,v1324952543,3.4,43.1,,,,1
1997-01-01,1997Q1,Prairie Region,2021A00014,"Finished motor gasoline (except for aircraft, and ethanol fuel) [261211]","Index, 202001=100",403,units,0,v1324952548,4.1,51.3,,,,1
1997-01-01,1997Q1,Prairie Region,2021A00014,Diesel fuel [261221],"Index, 202001=100",403,units,0,v1324952549,4.2,38.2,,,,1
